id,Event,Site,Date,White,Black,Result,BlackElo,ECO,WhiteElo,WhiteWon,BlackWon
29938,ARG-ch,Buenos Aires,1951,"Garibaldi, O.","Rebizzo, Cayetano",1/2-1/2,,C89,,0,0
33061,URS-ch sf,Leningrad,1951,"Smyslov, Vassily","Krogius, Nikolai V",1-0,,C89,,1,0
33818,URS-ch sf,Sverdlovsk,1951,"Boleslavsky, Isaak","Saigin, Vladimir",1-0,,C89,,1,0
34506,URS-ch sf,Sverdlovsk,1951,"Boleslavsky, Isaak","Veltmander, Ioganess",1/2-1/2,,C89,,0,0
35172,JUG-ch,Belgrad,1952,"Matanovic, Aleksandar","Milic, Borislav",1/2-1/2,,C89,,0,0
35741,Hoogovens,Beverwijk,1952,"Yanofsky, Daniel Abraham","Rellstab, Ludwig Sr",1/2-1/2,,C89,,0,0
36410,Budapest,Budapest,1952,"Szily, Jozsef","Szabo, Laszlo",0-1,,C89,,0,1
37026,Helsinki olm,Helsinki,1952,"Sigurdsson, Gudjon","Morel, F.",1-0,,C89,,1,0
37548,Helsinki olm,Helsinki,1952,"Skold, Kristian","Florian, Tibor",1/2-1/2,,C89,,0,0
37893,Liverpool,Liverpool,1952,"Katragadda, G.","Dinsen, Carl Krarup",1/2-1/2,,C89,,0,0
38770,Saltsjobaden Interzonal,Saltsjobaden,1952,"Matanovic, Aleksandar","Szabo, Laszlo",1/2-1/2,,C89,,0,0
39430,Bariloche,Bariloche,1953,"Gonzalez, G.","Ader Hausman, Walter",1/2-1/2,,C89,,0,0
40132,URS-ch sf,Gorky,1954,"Boleslavsky, Isaak","Nezhmetdinov, Rashid",1/2-1/2,,C89,,0,0
40650,Prague zt,Prague,1954,"Koskinen, Heikki","Olafsson, Fridrik",0-1,,C89,,0,1
41142,Budapest,Budapest,1955,"Meszaros, Ignac","Pogats, Jozsef",1-0,,C89,,1,0
41876,CSR-ch sf,Bratislava,1956,"Weiner, Milan","Ivanco, Imrich",1/2-1/2,,C89,,0,0
42980,Moscow olm fin-C,Moscow,1956,"Badilles, Glicerio","Maher, Vincent",1-0,,C89,,1,0
43485,Moscow olm fin-C,Moscow,1956,"Siaperas, Triantafyllos","Safvat, Y.",1-0,,C89,,1,0
43988,Moscow olm prel,Moscow,1956,"Smyslov, Vassily","Johannessen, Svein",1-0,,C89,,1,0
44646,URS-JUG,Leningrad,1957,"Nedeljkovic, Strecko","Geller, Efim P",1/2-1/2,,C89,,0,0
45251,Minsk zt,Minsk,1957,"Shagalovich, Abo I","Luik, Helmuth",1-0,,C89,,1,0
45886,URS-ch sf,Tbilisi,1957,"Buslaev, Aleksander",Demuria,0-1,,C89,,0,1
46544,URS-ch sf,Tbilisi,1957,"Aronin, Lev Solomonovich","Sarkisian, V.",1-0,,C89,,1,0
47455,URS-ch sf,Tbilisi,1957,"Aronin, Lev Solomonovich",Demuria,1-0,,C89,,1,0
48094,Asztalos mem,Balatonfured,1958,"Tolush, Alexander V","Szabo, Laszlo",0-1,,C89,,0,1
48761,Hoogovens,Beverwijk,1958,"Matanovic, Aleksandar","Milic, Borislav",1-0,,C89,,1,0
49424,Buenos Aires CA,Buenos Aires,1958,"Palermo, Vicente",Estonllo,1-0,,C89,,1,0
49918,Haifa/Tel Aviv,Haifa/Tel Aviv,1958,"Burstein, S.","Persitz, Raaphi",1-0,,C89,,1,0
50448,Munich olm prel,Munich,1958,"Tarazi, Andre","Dittmann, Sieghart",0-1,,C89,,0,1
51088,Munich olm prel,Munich,1958,"Safvat, Y.","Pomar Salamanca, Arturo",1/2-1/2,,C89,,0,0
51945,Munich olm prel,Munich,1958,"Lemoine, Claude","Prameshuber, Aleksander",0-1,,C89,,0,1
52580,Munich olm fin-C,Munich,1958,"Tarazi, Andre","Lotfy, Abdel Rahman",1-0,,C89,,1,0
53172,Munich olm fin-C,Munich,1958,"Palmiotto, Fiorentino","Ofstad, Per",1/2-1/2,,C89,,0,0
53574,JUG-13ch,Sarajevo,1958,"Vukcevich, Milan R","Ciric, Dragoljub M",1/2-1/2,,C89,,0,0
53969,Budapest-Leningrad m,Budapest,1959,"Sinka, Brigitta","Bishard, Ekaterina",1/2-1/2,,C89,,0,0
54659,Buenos Aires JM,Buenos Aires,1959,"Melamedoff, Manuel","Garcia, Raimundo",0-1,,C89,,0,1
55326,Buenos Aires VC,Buenos Aires,1959,"Foguelman, Alberto","Schweber, Samuel",1/2-1/2,,C89,,0,0
55926,Lima,Lima,1959,"Espinoza, C.","Perez Alcocer, Jose",1/2-1/2,,C89,,0,0
56496,URS-chT,Moscow,1959,"Muslimova, Aida E","Bishard, Ekaterina",0-1,,C89,,0,1
57055,USA-ch,New York,1959,"Fischer, Robert James","Bernstein, Sidney Norman",1-0,,C89,,1,0
57680,Riga,Riga,1959,"Tal, Mihail","Witkowski, Stefan",1-0,,C89,,1,0
58200,Riga,Riga,1959,"Gipslis, Aivars","Witkowski, Stefan",1-0,,C89,,1,0
58704,Santiago,Santiago,1959,"Ader Hausman, Walter","Stekel Grunberg, Moises",1/2-1/2,,C89,,0,0
59742,Asuncion,Asuncion,1960,"Riego Prieto, Victorio","Letelier, Rene",0-1,,C89,,0,1
60291,Leipzig olm fin-C,Leipzig,1960,"Gouder, A.","Casa, Alex",0-1,,C89,,0,1
61006,Leipzig olm fin-C,Leipzig,1960,"Camilleri, Henry","Kostjoerin, Anatole",1-0,,C89,,1,0
61699,Leipzig olm fin-A,Leipzig,1960,"Matanovic, Aleksandar","Padevsky, Nikola",1-0,,C89,,1,0
62384,Madrid zt,Madrid,1960,"Pachman, Ludek","Neikirkh, Oleg",1/2-1/2,,C89,,0,0
62973,USA-ch,New York,1960,"Fischer, Robert James","Seidman, Herbert",1-0,,C89,,1,0
63572,Sao Paulo zt,Sao Paulo,1960,"Recalde, E.","Camara, Ronald",1/2-1/2,,C89,,0,0
63978,Belgrade op,Belgrade,1961,"Vasiukov, Evgeni","Karaklajic, Nikola",1-0,,C89,,1,0
64547,HUN-ch,Budapest,1961,"Dely, Peter","Pogats, Jozsef",1/2-1/2,,C89,,0,0
65010,ARG-ch,Buenos Aires,1961,"Foguelman, Alberto","Garcia, Raimundo",1-0,,C89,,1,0
65869,ARG-ch,Buenos Aires,1961,"Rubinstein, Jose","Benko, Francisco",1-0,,C89,,1,0
66573,Netanya,Netanya,1961,"Matulovic, Milan","Durao, Joaquim",1-0,,C89,,1,0
67249,EU-chT,Oberhausen,1961,"Nedeljkovic, Strecko","Trapl, Jindrich",1/2-1/2,,C89,,0,0
67750,ARG-ch,Buenos Aires,1962,"Farah, Rodolfo",Lopez Bahamonde,1-0,,C89,,1,0
68746,URS-chT,Leningrad,1962,"Epstein, Esther",Bisarde,0-1,,C89,,0,1
69533,URS-chT,Leningrad,1962,"Boleslavsky, Isaak","Tal, Mihail",1/2-1/2,,C89,,0,0
70188,Stockholm Interzonal,Stockholm,1962,"Bertok, Mario","Stein, Leonid",1/2-1/2,,C89,,0,0
70628,Torremolinos zt,Torremolinos,1962,"Llado Lumbera, Jaime","Toran Albero, Roman",0-1,,C89,,0,1
71675,Varna olm,Varna,1962,"Barden, Leonhard William","Ridameya, Jose",1-0,,C89,,1,0
72326,Varna olm,Varna,1962,"Belkadi, Ridha","Hoen, Ragnar",1-0,,C89,,1,0
73039,Varna olm,Varna,1962,"Farboud, M.","Alvarez del Monte, Jose Luis",1/2-1/2,,C89,,0,0
73702,Varna olm,Varna,1962,"Thorvaldsson, Jonas","Ridameya, Jose",0-1,,C89,,0,1
74377,BCF-ch,Whitby,1962,"Mardle, Denis Victor","Thomas, Andrew",1-0,,C89,,1,0
74949,URS-ch30,Yerevan,1962,"Tal, Mihail","Krogius, Nikolai V",1-0,,C89,,1,0
75547,DEN-chT6364,DEN,1963,"Kolvig, Bent","Petersen, Finn",1-0,,C89,,1,0
75954,BCF-ch U16,Bath,1963,"Holmes, Richard F","Morris, PR.",1/2-1/2,,C89,,0,0
76675,BCF-ch Major Open,Bath,1963,"Evans, GR.","Noorda, SJ.",0-1,,C89,,0,1
77166,Hoogovens,Beverwijk,1963,"Robatsch, Karl","O'Kelly de Galway, Alberic",1/2-1/2,,C89,,0,0
77635,ARG-ch,Buenos Aires,1963,"Marcussi, Bartolome",Nebreda,1/2-1/2,,C89,,0,0
78655,JUG-chJ,Dravograd,1963,"Rujevic, Mirko","Bratko, Ivan",0-1,,C89,,0,1
79164,Hastings-B6364,Hastings,1963,"Gaprindashvili, Nona","Phillips, Alan",1/2-1/2,,C89,,0,0
80001,URS-ch31,Leningrad,1963,"Novopashin, Arkady","Spassky, Boris V",0-1,,C89,,0,1
80437,URS-ch31,Leningrad,1963,"Kholmov, Ratmir D","Nei, Iivo",1-0,,C89,,1,0
81073,URS-ch31,Leningrad,1963,"Suetin, Alexey S","Geller, Efim P",1/2-1/2,,C89,,0,0
82250,URS Spartakiad,Moscow,1963,"Vasilchuk, Yury","Smirnov, YA.",1/2-1/2,,C89,,0,0
82701,URS Spartakiad,Moscow,1963,"Rozenberg, S.","Smirnov, Artiom",0-1,,C89,,0,1
83534,URS-chT,Moscow,1963,"Valiev, Neron","Mamatov, Dair",0-1,,C89,,0,1
84362,Alekhine mem,Moscow,1963,"Matanovic, Aleksandar","Jimenez Zerquera, Eleazar",1-0,,C89,,1,0
84935,Split ol (Women),Split,1963,"Renoy Chevrier, Anne Marie","Nicolau, Alexandra",0-1,,C89,,0,1
85647,Hoogovens,Beverwijk,1964,"Zuidema, Coenraad","Nei, Iivo",0-1,,C89,,0,1
86157,Bordeaux op,Bordeaux,1964,"Gheorghiu, Florin","Chaude de Silans, Chantal",1-0,,C89,,1,0
86857,Budapest-ch,Budapest,1964,"Titkos, Jeno","Dely, Peter",0-1,,C89,,0,1
87390,Budapest-ch,Budapest,1964,"Ozsvath, Andras","Sapi, Laszlo",1-0,,C89,,1,0
88064,FRG-ch m,Hamburg,1964,"Unzicker, Wolfgang","Pfleger, Helmut",1-0,,C89,,1,0
88700,Hastings6465,Hastings,1964,"Lee, Peter N","Mardle, Denis Victor",1/2-1/2,,C89,,0,0
89318,Capablanca mem,Havana,1964,"Darga, Klaus","Jimenez Zerquera, Eleazar",1/2-1/2,,C89,,0,0
90806,URS-chT,Leningrad,1964,"Tolush, Alexander V","Mukhin, Georgy",1/2-1/2,,C89,,0,0
91344,Moscow zt,Moscow,1964,"Stein, Leonid","Spassky, Boris V",1/2-1/2,,C89,,0,0
91897,Rubinstein mem,Polanica Zdroj,1964,"Parma, Bruno","Zinn, Lothar",1/2-1/2,,C89,,0,0
92918,Tel Aviv olm fin-B,Tel Aviv,1964,"Dueckstein, Andreas","Silva Nazzari, Raul",1-0,,C89,,1,0
93637,Tel Aviv olm prel,Tel Aviv,1964,"Gragger, Anton","Carvajal, Juan",1-0,,C89,,1,0
94214,Tel Aviv olm prel,Tel Aviv,1964,"Vizantiadis, Lazaros","Ascencios, J.",0-1,,C89,,0,1
94702,Tel Aviv olm fin-B,Tel Aviv,1964,"Tchalkhasuren, C.","Pinzon Solis, Felipe",0-1,,C89,,0,1
95349,Tel Aviv olm fin-D,Tel Aviv,1964,"Yabra, Freddy","Philippe, Georges",0-1,,C89,,0,1
95845,Tel Aviv olm prel,Tel Aviv,1964,"Lantsias, Andreas","Guerrero, M.",0-1,,C89,,0,1
96506,Tel Aviv olm fin-D,Tel Aviv,1964,"Schneider, Raymond","Alvarez del Monte, Jose Luis",1-0,,C89,,1,0
97179,Tel Aviv olm prel,Tel Aviv,1964,"Boucchechter, A.","Spassky, Boris V",0-1,,C89,,0,1
97707,Tel Aviv olm fin-C,Tel Aviv,1964,"Safvat, Y.","Sitiriche, J.",1/2-1/2,,C89,,0,0
98481,DDR-ch 15th,Annaberg-Buchholz,1965,"Neukirch, Detlef","Litkiewicz, Kurt",1-0,,C89,,1,0
99124,Wch U20 q-5,Barcelona,1965,"Brent, Richard","Simon, Emilio",1/2-1/2,,C89,,0,0
99780,Capablanca mem,Havana,1965,"Fischer, Robert James","O'Kelly de Galway, Alberic",1/2-1/2,,C89,,0,0
100593,Capablanca mem,Havana,1965,"Fischer, Robert James","Wade, Robert Graham",1/2-1/2,,C89,,0,0
101581,Capablanca mem,Havana,1965,"Ciocaltea, Victor","Geller, Efim P",1/2-1/2,,C89,,0,0
102072,Capablanca mem,Havana,1965,"Fischer, Robert James","Donner, Jan Hein",1-0,,C89,,1,0
102655,Rubinstein mem,Polanica Zdroj,1965,"Filipowicz, Andrzej","Serwinski, Benedykt",1-0,,C89,,1,0
103458,Riga-ch,Riga,1965,"Suslov, Serafim","Vitomskis, Y.",1-0,,C89,,1,0
103983,Riga-ch,Riga,1965,"Serebriakov, A.","Vitomskis, Y.",0-1,,C89,,0,1
104374,Candidats sf2,Riga,1965,"Spassky, Boris V","Geller, Efim P",1-0,,C89,,1,0
105176,Santiago,Santiago de Chile,1965,"Pilnick, Carl","Geller, Efim P",0-1,,C89,,0,1
105821,Tbilisi,Tbilisi,1965,"Jansa, Vlastimil","Bokuchava, Alexander",1/2-1/2,,C89,,0,0
106553,Tbilisi,Tbilisi,1965,"Jansa, Vlastimil","Lilienthal, Andor",1/2-1/2,,C89,,0,0
107089,Candidats final,Tbilisi,1965,"Tal, Mihail","Spassky, Boris V",1/2-1/2,,C89,,0,0
107706,Candidats final,Tbilisi,1965,"Tal, Mihail","Spassky, Boris V",1/2-1/2,,C89,,0,0
108361,Candidats final,Tbilisi,1965,"Tal, Mihail","Spassky, Boris V",1/2-1/2,,C89,,0,0
109165,URS-JUG,URS,1965,"Parma, Bruno","Spassky, Boris V",1/2-1/2,,C89,,0,0
109815,Clare Benedict Cup,Brunnen,1966,"Penrose, Jonathan","Donner, Jan Hein",0-1,,C89,,0,1
110732,CSR-ch Int,Harrachov,1966,"Pietzsch, Wolfgang","Jansa, Vlastimil",0-1,,C89,,0,1
111848,Kislovodsk,Kislovodsk,1966,"Kholmov, Ratmir D","Tal, Mihail",1/2-1/2,,C89,,0,0
112376,La Habana olm fin-C,La Habana,1966,"Durao, Joaquim","Philippe, Georges",1/2-1/2,,C89,,0,0
112840,WchTJ U26 fin-B,Oerebro,1966,"Wostin, Rik Hendrik","Glenza, ZA.",1/2-1/2,,C89,,0,0
113398,WchTJ U26 fin-B,Oerebro,1966,"Jeannet, R.","Glenza, ZA.",1/2-1/2,,C89,,0,0
113943,Rio Hondo zt,Rio Hondo,1966,"Alvarez del Monte, Jose Luis","Quinones, Oscar Carillo",1/2-1/2,,C89,,0,0
114375,Santa Monica,Santa Monica,1966,"Fischer, Robert James","Donner, Jan Hein",1/2-1/2,,C89,,0,0
114972,Santa Monica,Santa Monica,1966,"Fischer, Robert James","Spassky, Boris V",1/2-1/2,,C89,,0,0
115573,BCF-ch U16,Sunderland,1966,"Markland, Peter R","Moon, F.",1-0,,C89,,1,0
116263,BCF-ch U16,Sunderland,1966,"Warren, AF.","Corden, Martyn J",0-1,,C89,,0,1
116776,BCF-ch,Sunderland,1966,"Coast, P.","Cooke, JR.",1-0,,C89,,1,0
117291,URS-ch34,Tbilisi,1966,"Gufeld, Eduard","Geller, Efim P",1/2-1/2,,C89,,0,0
117693,URS-chT,URS,1966,"Lepeshkin, Vladimir","Smirnov, A.",0-1,,C89,,0,1
118377,URS-chT,URS,1966,"Lutikov, Anatoly S","Spassky, Boris V",1/2-1/2,,C89,,0,0
119226,URS-JUG,URS,1966,"Parma, Bruno","Geller, Efim P",1/2-1/2,,C89,,0,0
119706,Buenos Aires VC-ch,Buenos Aires,1967,"Rebizzo, Cayetano","Riveiro, Jorge",1-0,,C89,,1,0
120248,Caracas zt,Caracas,1967,"Hugues, Esmenares","Reissmann, Paul",1-0,,C89,,1,0
120624,WchT U26,Harrachov,1967,"Kristjansson, Bragi","Perecz, Laszlo",1/2-1/2,,C89,,0,0
121063,Wch U20,Jerusalem,1967,"Asplund, Lennart","Kaplan, Julio P",1/2-1/2,,C89,,0,0
121420,October Revolution 50,Leningrad,1967,"Tringov, Georgi P","Hort, Vlastimil",1/2-1/2,,C89,,0,0
121878,Sousse Interzonal,Sousse,1967,"Matanovic, Aleksandar","Geller, Efim P",1/2-1/2,,C89,,0,0
122286,URS-chT,URS,1967,Vigolin,"Vinkel, Valery",1/2-1/2,,C89,,0,0
122931,NLD-ch,Zierikzee,1967,"Kuijpers, Franciscus Antonius","Krabbe, Tim",1-0,,C89,,1,0
123739,Brno KOLT,Brno,1968,"Babula, Milan","Kopecek, I.",1-0,,C89,,1,0
124172,Brno KOLT,Brno,1968,"Plsek, P.","Pospisilova, E.",1/2-1/2,,C89,,0,0
125017,Lugano ol (Men),Lugano,1968,"Suer, Nevzat","Corominas, F.",1-0,,C89,,1,0
125789,Lugano ol (Men),Lugano,1968,"Yanofsky, Daniel Abraham","Rovira Mas, Jorge",1-0,,C89,,1,0
126454,Lugano ol (Men),Lugano,1968,"Kristjansson, Bragi","De la Casa, Angel",1-0,,C89,,1,0
127157,Lugano ol (Men),Lugano,1968,"Huguet, Bernard","Prameshuber, Aleksander",1-0,,C89,,1,0
128402,Manila,Manila,1968,"Torre, Eugenio","De Castro, Edgar",0-1,,C89,,0,1
129033,Palma de Mallorca,Palma de Mallorca,1968,"Westerinen, Heikki MJ","Calvo Minguez, Ricardo",1-0,,C89,,1,0
129830,URS-chT,URS,1968,"Kirpichnikov, Vladimir S","Steinberg, Mikhail",0-1,,C89,,0,1
130258,URS-chT,URS,1968,"Zolotonos, Leonid",Barenboim,0-1,,C89,,0,1
130955,URS-ch36,URS,1968,"Tseshkovsky, Vitaly","Zaitsev, Igor A",1-0,,C89,,1,0
131584,DDR-ch (Women),Weimar,1968,"Nuenchert, Eveline","Grund, Gisela",1/2-1/2,,C89,,0,0
132078,Monte Carlo-B,Monte Carlo,1969,"Ciocaltea, Victor","Mazzoni, Guy",1/2-1/2,,C89,,0,0
132510,JUG-24ch,Novi Travnik,1969,"Matanovic, Aleksandar","Ostojic, Predrag",1-0,,C89,,1,0
133190,Villa Gesell tt,Villa Gesell,1969,Zavattaro,Maltz,0-1,,C89,,0,1
133699,Glorney Cup,"Bearsden, Glasgow",1970,"Bryant, David","Bray, D.",0-1,,C89,,0,1
134167,Budapest,Budapest,1970,"Barczay, Laszlo","Adorjan, Andras",1/2-1/2,,C89,,0,0
134646,Clare Benedict,Paignton,1970,"Schaufelberger, Heinz","Prameshuber, Aleksander",1/2-1/2,,C89,,0,0
135200,Palma de Mallorca Interzonal,Palma de Mallorca,1970,"Matulovic, Milan","Geller, Efim P",1/2-1/2,,C89,,0,0
135611,Rubinstein mem,Polanica Zdroj,1970,"Zaitsev, Igor A","Adorjan, Andras",1-0,,C89,,1,0
136168,URS-ch38 Riga,Riga,1970,"Balashov, Yuri S","Tseitlin, Mark D",1-0,,C89,,1,0
136794,Siegen olm,Siegen,1970,Barriera,"Belkadi, Ridha",0-1,,C89,,0,1
137184,Siegen olm,Siegen,1970,"Geller, Efim P","Calvo Minguez, Ricardo",1-0,,C89,,1,0
137749,Siegen olm,Siegen,1970,"Santos, Luis","Levy, Mauricio",1-0,,C89,,1,0
138691,Siegen olm,Siegen,1970,"Cornelis, Frans B","Ojanen, Kaarle Sakari",1-0,,C89,,1,0
139238,Siegen olm,Siegen,1970,Marachi,"Thomsen, Torbjorn",1/2-1/2,,C89,,0,0
139821,Siegen olm,Siegen,1970,"Bisson, John","Levy, Mauricio",0-1,,C89,,0,1
140544,Skopje,Skopje,1970,"Vasiukov, Evgeni","Barczay, Laszlo",1-0,,C89,,1,0
141066,Slater Young Masters,Hastings,1971,"Stean, Michael","Eley, Brian",1-0,,C89,,1,0
141569,Wch U20,Athens,1971,Cruz,"Biriescu, Ioan",0-1,,C89,,0,1
142047,HUN-ch,Budapest,1971,"Dely, Peter","Adorjan, Andras",1/2-1/2,2465,C89,2480,0,0
142476,Capablanca mem,Havana,1971,"Parma, Bruno","Geller, Efim P",1/2-1/2,2630,C89,2510,0,0
142932,URS-ch39,Leningrad,1971,"Tal, Mihail","Krogius, Nikolai V",1-0,2575,C89,2620,1,0
143364,DDR-ch (Women),Strausberg,1971,"Helm, I.","Bade, Heidrun",0-1,,C89,,0,1
143739,USA-72ch,Ventura,1971,"Ebesugawa, Cary","Lee, David L",0-1,,C89,,0,1
144222,Barnstaple op,Barnstaple,1972,"Ditmas, HG.","Wedderspoon, AD.",0-1,1800,C89,1800,0,1
144720,ARG-ch qual-C,Buenos Aires,1972,"Rubinetti, Jorge A","Bronstein, Luis",1/2-1/2,,C89,,0,0
145168,Sao Paulo zt,Sao Paulo,1972,"Gamarra Caceres, Carlos","Vasquez, Julio E",1/2-1/2,2270,C89,,0,0
146042,Sao Paulo zt,Sao Paulo,1972,"Gamarra Caceres, Carlos","Quinones, Oscar Carillo",0-1,2290,C89,,0,1
146706,Skopje ol (Men) fin-B,Skopje,1972,"Watzka, Horst","Hoen, Ragnar",1-0,2300,C89,2200,1,0
147291,Skopje ol (Men) fin-D,Skopje,1972,"Abbou, Mohamed","Potter, H.",1-0,2200,C89,2200,1,0
147869,Skopje ol (Men) fin-D,Skopje,1972,"Palmer, Bernard","Krstic, Slobodan",0-1,2200,C89,2200,0,1
148524,Skopje ol (Men) fin-D,Skopje,1972,"Camilleri, Henry","Philippe, Georges",0-1,2200,C89,2250,0,1
149269,Skopje ol (Men) fin-D,Skopje,1972,"Taha, A.","Philippe, Georges",1-0,2200,C89,2200,1,0
149955,Skopje ol (Men) fin-D,Skopje,1972,"Thomsen, D.",Kwan Nam Seng,0-1,2200,C89,2200,0,1
150602,Skopje ol (Men) fin-B,Skopje,1972,"Cardoso, Radolfo Tan","Quinones, Oscar Carillo",1-0,2310,C89,2200,1,0
151115,Skopje ol (Men) fin-D,Skopje,1972,"Taha, A.","Palmer, Bernard",1/2-1/2,2200,C89,2200,0,0
152917,Villa Gesell tt,Villa Gesell,1972,"Covini, Cesar A","Magliaro, F.",1/2-1/2,,C89,,0,0
153800,USA op,Chicago,1973,"Matera, Salvatore","Bronson, P.",1-0,,C89,,1,0
154242,USA op,Chicago,1973,"Rodriguez, Roberto","Bradford, Joseph M",1-0,,C89,,1,0
155224,USA-ch,El Paso,1973,"Browne, Walter S","Gilden, Lawrence C",1-0,2200,C89,2530,1,0
156186,Sochi,Sochi,1973,"Korensky, Valeri S","Krogius, Nikolai V",1/2-1/2,2560,C89,2200,0,0
