id,Event,Site,Date,White,Black,Result,BlackElo,ECO,WhiteElo,White Short Castle,White Long Castle,Black Short Castle,Black Long Castle,Opposite side castling,WhiteWon,BlackWon,Moves,WhiteFinalPiecesCount,BlackFinalPiecesCount,FinalPiecesCount,QueenTrade
44646,URS-JUG,Leningrad,1957,"Nedeljkovic, Strecko","Geller, Efim P",1/2-1/2,,C89,,1,0,1,0,0,0,0,37,6,6,12,1
45251,Minsk zt,Minsk,1957,"Shagalovich, Abo I","Luik, Helmuth",1-0,,C89,,1,0,1,0,0,1,0,41,7,7,14,0
45886,URS-ch sf,Tbilisi,1957,"Buslaev, Aleksander",Demuria,0-1,,C89,,1,0,1,0,0,0,1,43,5,6,11,1
46544,URS-ch sf,Tbilisi,1957,"Aronin, Lev Solomonovich","Sarkisian, V.",1-0,,C89,,1,0,1,0,0,1,0,64,5,4,9,1
47455,URS-ch sf,Tbilisi,1957,"Aronin, Lev Solomonovich",Demuria,1-0,,C89,,1,0,1,0,0,1,0,40,6,7,13,0
48094,Asztalos mem,Balatonfured,1958,"Tolush, Alexander V","Szabo, Laszlo",0-1,,C89,,1,0,1,0,0,0,1,42,6,9,15,0
48761,Hoogovens,Beverwijk,1958,"Matanovic, Aleksandar","Milic, Borislav",1-0,,C89,,1,0,1,0,0,1,0,41,6,5,11,0
49424,Buenos Aires CA,Buenos Aires,1958,"Palermo, Vicente",Estonllo,1-0,,C89,,1,0,1,0,0,1,0,27,8,9,17,0
49918,Haifa/Tel Aviv,Haifa/Tel Aviv,1958,"Burstein, S.","Persitz, Raaphi",1-0,,C89,,1,0,1,0,0,1,0,30,9,6,15,0
50448,Munich olm prel,Munich,1958,"Tarazi, Andre","Dittmann, Sieghart",0-1,,C89,,1,0,1,0,0,0,1,41,7,9,16,1
51088,Munich olm prel,Munich,1958,"Safvat, Y.","Pomar Salamanca, Arturo",1/2-1/2,,C89,,1,0,1,0,0,0,0,58,1,1,2,1
51945,Munich olm prel,Munich,1958,"Lemoine, Claude","Prameshuber, Aleksander",0-1,,C89,,1,0,1,0,0,0,1,39,6,8,14,1
52580,Munich olm fin-C,Munich,1958,"Tarazi, Andre","Lotfy, Abdel Rahman",1-0,,C89,,1,0,1,0,0,1,0,35,8,8,16,1
53172,Munich olm fin-C,Munich,1958,"Palmiotto, Fiorentino","Ofstad, Per",1/2-1/2,,C89,,1,0,1,0,0,0,0,18,11,10,21,0
53574,JUG-13ch,Sarajevo,1958,"Vukcevich, Milan R","Ciric, Dragoljub M",1/2-1/2,,C89,,1,0,1,0,0,0,0,18,13,12,25,0
53969,Budapest-Leningrad m,Budapest,1959,"Sinka, Brigitta","Bishard, Ekaterina",1/2-1/2,,C89,,1,0,1,0,0,0,0,43,7,6,13,1
54659,Buenos Aires JM,Buenos Aires,1959,"Melamedoff, Manuel","Garcia, Raimundo",0-1,,C89,,1,0,1,0,0,0,1,42,4,6,10,1
55326,Buenos Aires VC,Buenos Aires,1959,"Foguelman, Alberto","Schweber, Samuel",1/2-1/2,,C89,,1,0,1,0,0,0,0,35,7,7,14,1
55926,Lima,Lima,1959,"Espinoza, C.","Perez Alcocer, Jose",1/2-1/2,,C89,,1,0,1,0,0,0,0,34,7,6,13,0
56496,URS-chT,Moscow,1959,"Muslimova, Aida E","Bishard, Ekaterina",0-1,,C89,,1,0,1,0,0,0,1,34,8,9,17,0
57055,USA-ch,New York,1959,"Fischer, Robert James","Bernstein, Sidney Norman",1-0,,C89,,1,0,1,0,0,1,0,38,4,4,8,1
57680,Riga,Riga,1959,"Tal, Mihail","Witkowski, Stefan",1-0,,C89,,1,0,1,0,0,1,0,31,9,7,16,1
58200,Riga,Riga,1959,"Gipslis, Aivars","Witkowski, Stefan",1-0,,C89,,1,0,1,0,0,1,0,29,9,10,19,0
