id,Plays
12123,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 Nf6 12. d4 Bd6 13. Re2 Bb7 14. Nd2 Qd7 15. f3 Qf5 16. Nf1 Rae8 17. Be3 Re7 18. Qc2 Qh5 19. Rae1 a5 20. a4 bxa4 21. Bxa4 Ba6 22. c4 Bb4 23. Bd2 Rxe2 24. Rxe2 Qh4 25. Be3 c5 26. dxc5 Qxc4 27. Qxc4 Bxc4 28. Rc2 Bd3 29. Rc1 Nd5 30. Bf2 Nf4 31. Ng3 Ba6 32. c6 h5 33. Bc5 h4 34. Bxf8 Bxf8 35. c7 Nd3 36. Bb5 Bc8 37. Bxd3 hxg3 38. hxg3 Bd6 39. g4 Kf8 40. Bf5
12765,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. Bxd5 cxd5 13. d4 Bd6 14. Re3 Qh4 15. h3 Bf5 16. Nd2 Rae8 17. Nf3 Qf6 18. Rxe8 Rxe8 19. Ne5 Bxe5 20. dxe5 Qxe5 21. Be3 b4 22. Qd4 Qe6 23. Qb6
13215,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. d3 dxe4 10. dxe4 Qxd1 11. Bxd1 Rd8 12. Bc2 h6 13. Nbd2 Be6 14. Nf1 Nd7 15. Be3 Bc5 16. b4 Bxe3 17. Nxe3 Nb6 18. a3 f6 19. Red1 Rxd1+ 20. Rxd1 Rd8 21. Rxd8+ Nxd8 22. Kf1 Kf8 23. Ke2 Ke7 24. Nd2 Nb7 25. Bb3
13694,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. d4 Bd6 13. Re1 Qh4 14. g3 Qh3 15. Re4 g5 16. Nd2 Bf5 17. Qe2 Nf6 18. Re5 Bxe5 19. dxe5 Ng4 20. Nf3 Rae8 21. Qf1 Qxf1+ 22. Kxf1 h6 23. h4 Be4 24. Ne1 Rxe5 25. f4 gxh4 26. gxh4 Re7 27. Bd1 Bf5 28. Nf3 Rd8 29. Be2 Rde8 30. Bd1 Bd3+ 31. Kg2 Be2 32. Bxe2 Rxe2+ 33. Kg3 h5 34. f5 Rf2 35. a4 Rf1 36. axb5 cxb5 37. b3 f6 38. Nd4 Ree1 39. Rxa6 Rxc1 40. Nxb5 Rxf5
14339,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. d4 exd4 11. cxd4 Bg4 12. Nc3 Nf6 13. Be3 Na5 14. Bc2 Nc4 15. Bc1 Re8 16. h3 Bh5 17. g4 Bg6 18. Bxg6 hxg6 19. Ne5 Bb4 20. Bg5 Bxc3 21. bxc3 Qd5 22. Bxf6 gxf6 23. Nxc4 Rxe1+ 24. Qxe1 Qxc4 25. Qe3 Kg7 26. f4 c5 27. f5 cxd4 28. cxd4 Re8 29. Qxe8 Qxd4+ 30. Kg2 Qxa1 31. fxg6 Qxa2+ 32. Kf3 Qd5+ 33. Kf2 fxg6 34. h4 Qd6 35. Kf3 b4 36. h5 gxh5 37. gxh5 f5 38. Qc8 a5 39. Qa8 Qd3+ 40. Kf2 Qd4+ 41. Kf1 Qf4+ 42. Kg1 Qg5+ 43. Kf2 Qh4+ 44. Kf1 Qc4+ 45. Kf2 Qd4+ 46. Kf1 Qb6 47. Qe8 b3 48. Qe5+ Kf7
15076,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. Re1 Bd6 13. d4 Qh4 14. g3 Qh3 15. Bc2 Bg4 16. Qd3 Rae8 17. Be3 f5 18. Qf1 Qh5 19. c4 f4 20. cxd5 fxg3 21. hxg3 Bf3
15490,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 Nf6 12. Re1 Bd6 13. h3 Ng4 14. Qf3 Qh4 15. d4 Nxf2 16. Re2 Bg4 17. hxg4 Bh2+ 18. Kf1 Bg3 19. Rxf2 Qh1+ 20. Ke2 Qxc1 21. Bxf7+ Kh8 22. Qxg3 Qxb2+ 23. Nd2 Qxa1 24. Rf1 Qb2 25. Qd3 h6 26. g5 Qa3 27. Qg6 Qd6 28. Rf6 Qe7+ 29. Kd1 Rae8 30. Qh5 Rxf7 31. Rxf7 Qe1+ 32. Kc2
16041,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 e4 10. dxc6 exf3 11. Qxf3 Bg4 12. Qg3 Re8 13. f4 Bd6 14. Re5 Be6 15. d4 Bxb3 16. axb3 Bxe5 17. fxe5 Ne4 18. Qf3 Qh4 19. g3 Ng5 20. Qf5 Qe4 21. Qxg5 Qe1+ 22. Kg2 Qe2+ 23. Kg1 Qe1+
16513,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 Nxd5 10. Nxe5 Nxe5 11. Rxe5 c6 12. d3 Bd6 13. Re1 Bf5 14. Bxd5 cxd5 15. Nd2 Bxd3 16. Nf1 Bg6 17. Qd4 Rc8 18. Be3 b4 19. Rad1 bxc3 20. bxc3 Qc7 21. Qxd5 Rfd8 22. Qb3 Rb8 23. Qa4 Qxc3 24. Qxa6 Qa3 25. Rxd6 Qxd6 26. Qxd6 Rxd6 27. Bf4 Rdb6 28. Bxb8 Rxb8 29. a4 Kf8 30. a5 Ra8 31. Ra1 Ke7 32. Ne3 Kd6 33. f4 f6 34. Kf2 Ra7 35. f5 Bf7 36. Kf3 Kc5 37. Nc2 Bd5+ 38. Kf2 Be4 39. Ne3 Kb5 40. Rd1 Rxa5 41. Rd7 Ra2+ 42. Kg3 Re2 43. Kf4 Bxg2 44. Rxg7 Bh3 45. Rxh7 Rxh2 46. Rh6 Rf2+ 47. Kg3 Re2 48. Kxh3 Rxe3+ 49. Kg4 Kc6 50. Rxf6+ Kd7 51. Rf7+ Ke8 52. Rh7 Ra3 53. Kg5 Ra6 54. Rg7 Kf8 55. Rg6 Ra7 56. Rh6 Rg7+
17354,1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 O-O 8. c3 d5 9. exd5 e4 10. dxc6 exf3 11. d4 Bg4 12. gxf3 Bh5 13. Bf4 Bd6 14. Bg3 Nd5 15. Bxd5 Bxg3 16. hxg3 Qxd5 17. Re5 Qxf3 18. Qxf3 Bxf3 19. Nd2 f6 20. Re7 Bxc6 21. Rxc7 Rac8 22. Rxc8 Rxc8 23. Rc1 Bd5 24. b3 h5 25. f3 a5 26. Kf2 a4 27. bxa4 bxa4 28. c4 g5 29. Ke3 Be6 30. Kd3 h4 31. gxh4 gxh4 32. d5 Bf5+ 33. Ne4 Kf7 34. Ke3 Bxe4 35. fxe4 h3 36. Kf3 Rg8 37. c5 h2 38. Rh1 Rh8 39. Kg3 Re8 40. Rxh2 Rxe4 41. Rh7+ Kg6 42. Rd7 Re2 43. c6 Rxa2 44. d6 Rc2 45. Rc7 a3 46. d7 Rd2 47. Ra7
