id,MaxEval,MinEval,FinalEval,W<=10,W<=25,W<=50,W<=100,W<=200,W<=500,W>500,B<=10,B<=25,B<=50,B<=100,B<=200,B<=500,B>500,Wprojection,Bprojection,DifProjection
1913533,91,-62,-10,19,12,5,0,0,0,0,26,10,4,1,0,0,0,1781,-635,1146
1914202,73,-547,0,15,7,4,1,3,1,0,23,7,2,0,2,2,0,1515,-6911,-5396
1914824,150,-2254,-2254,27,19,7,2,3,2,1,40,14,7,3,1,0,0,5151,-15277,-10126
1915779,71,-100,0,16,3,8,0,0,0,0,20,9,3,1,0,0,0,1352,-680,672
1916357,178,-49,0,22,4,5,6,0,0,0,26,8,5,3,0,0,0,2663,-257,2406
1917060,94,0,0,9,10,4,0,0,0,0,14,7,5,0,0,0,0,2441,0,2441
1917559,118,-1753,-1000,7,6,4,6,1,4,1,17,6,7,2,1,0,2,1288,-25797,-24509
1918188,749,-57,749,12,6,7,4,5,2,0,14,5,6,10,7,2,0,22847,-124,22723
1918927,77,-9,0,16,8,2,3,0,0,0,21,10,0,3,0,0,0,2459,-9,2450
1919516,60,-960,-919,10,6,4,4,3,1,0,18,5,6,1,0,0,0,798,-12995,-12197
1920052,113,-142,57,13,9,6,3,0,0,0,17,9,3,3,1,0,0,2614,-916,1698
1920623,1634,-252,1634,9,5,1,5,1,1,0,12,5,2,2,2,3,1,16096,-716,15380
1921141,726,-106,716,11,5,4,1,1,0,0,14,3,4,3,2,1,0,7188,-717,6471
1921674,105,-48,0,19,8,4,0,1,0,0,21,8,4,1,0,0,0,1824,-429,1395
1922276,890,-46,890,11,4,3,2,2,0,0,13,5,5,4,2,2,0,14297,-78,14219
1938918,72,7,21,10,5,2,0,0,0,0,12,8,1,0,0,0,0,1843,0,1843
1943766,58,-4,32,10,6,1,0,0,0,0,15,2,2,0,0,0,0,1052,-4,1048
1944197,102,0,0,9,3,3,1,0,0,0,17,3,1,1,0,0,0,1439,0,1439
1949042,81,-99998,-99998,20,11,7,14,7,4,1,53,8,7,6,3,4,1,1821,-81113,-79292
1953161,88,-100000,-100000,5,3,0,3,2,2,2,10,4,2,1,2,1,0,887,-9591,-8704
1959019,178,-6,50,21,10,3,5,1,0,0,24,12,7,2,1,0,0,5944,-6,5938
1960964,99998,-8,99996,19,8,2,1,1,0,0,25,4,3,6,3,0,1,29601,-12,29589
1962556,421,-162,0,51,8,3,5,1,0,0,55,11,3,2,1,1,0,9185,-1324,7861
1963584,924,-75,924,15,2,4,6,2,3,0,12,7,4,5,4,4,0,9992,-258,9734
1964192,177,-850,-850,6,2,1,1,1,2,0,6,4,2,0,2,0,0,1390,-2595,-1205
1964558,138,-66,0,40,8,1,3,0,0,0,46,11,1,2,0,0,0,2795,-761,2034
1966031,746,-22,708,12,6,4,2,0,0,0,11,4,6,2,0,0,1,6895,-22,6873
1971556,850,-48,850,22,10,3,3,0,1,0,25,12,3,5,5,0,0,17943,-392,17551
1972350,138,-99997,-99997,6,5,2,1,0,2,2,12,3,5,1,1,0,0,2173,-8426,-6253
1972814,72,-784,-784,10,6,7,0,3,1,0,24,4,4,2,0,0,0,1254,-15940,-14686
1975524,1006,-229,890,13,8,6,1,4,2,0,9,7,6,6,2,5,0,11557,-2512,9045
1976537,88,-1178,-1178,22,7,4,5,0,1,1,28,8,4,3,0,0,0,1332,-8919,-7587
1977234,978,-25,978,19,7,5,5,1,0,0,23,7,7,7,2,1,0,22486,-25,22461
